Otros articulos ,Hora,Uds,Nº Pax,Valor neto,TOTAL,Detalle de servicios.
"1 Ramo de flores, 6 rosas, rojas, blancas, rosadas, amarilla",,1,1,50000,50000,encargar hasta 72 horas antes
1 Chocolate Sahne Nuss 250g + espumante o botella de vino ,,1,1,25000,25000,
,,1,1,,0,
Resma de Hojas ,,1,1,12000,12000,
Lapices azul Pasta ,,1,1,1000,1000,
Corrector lapiz ,,1,1,3500,3500,
Plumones permanente ,,1,1,1000,1000,
Plumones de pizarra ,,1,1,800,800,
Fotocopias o impresion color ,,1,1,600,600,hoja de color tamaño carta 
Fotocopias o impresion negro,,1,1,300,300,hoja en blanco y negro tamaño carta 
Almuerzos productoras o choferes en buffet,,1,1,16386.55462,16386.55462,Exclusivo solo a los que traen a las empresas 
